date,observations,total_fuel_sales,shop_total_revenue,total_traffic,avg_temperature,avg_precipitation_mm,promo_fuel_share,promo_shop_share,promo_cafe_share,ad_active_share,avg_price_gap_ai92,avg_price_gap_ai95,avg_price_gap_dt
2023-03-10,600,37236.0,87945.0,90431.0,-3.91,0.35,0.52,0.44,0.24,0.3183,-0.026,-0.056,0.937
2023-03-11,600,37302.0,102676.0,92899.0,-3.83,0.34,0.52,0.44,0.24,0.2833,0.058,0.016,1.055
2023-03-12,600,36653.0,100181.0,91852.0,-4.03,0.32,0.52,0.44,0.24,0.3117,0.021,0.065,0.906
2023-03-13,600,38883.0,98821.0,91673.0,-4.16,0.36,0.56,0.4,0.24,0.2767,0.027,0.031,0.968
2023-03-14,600,37410.0,91207.0,90452.0,-3.97,0.34,0.56,0.4,0.24,0.2933,0.001,0.083,0.897
2023-03-15,600,37236.0,89295.0,90752.0,-3.93,0.38,0.52,0.4,0.24,0.2983,0.029,0.117,0.904
2023-03-16,600,37519.0,88914.0,90664.0,-3.9,0.36,0.52,0.4,0.24,0.2933,0.108,0.039,1.051
2023-03-17,600,37775.0,89644.0,91321.0,-3.96,0.39,0.56,0.4,0.24,0.31,0.096,-0.002,0.964
2023-03-18,600,35983.0,89999.0,89607.0,-4.25,0.37,0.56,0.4,0.24,0.325,-0.008,0.014,0.898
2023-03-19,600,35758.0,89902.0,90447.0,-3.85,0.39,0.52,0.4,0.24,0.29,0.124,-0.009,0.939
2023-03-20,600,37227.0,91781.0,90495.0,-4.0,0.38,0.52,0.4,0.24,0.27,-0.009,-0.028,0.98
2023-03-21,600,38283.0,94131.0,90921.0,-3.83,0.37,0.52,0.4,0.24,0.33,-0.039,0.026,0.893
2023-03-22,600,37460.0,88045.0,90229.0,-3.73,0.37,0.56,0.44,0.24,0.31,-0.037,-0.028,0.943
2023-03-23,600,38544.0,94782.0,92255.0,-4.04,0.35,0.56,0.44,0.24,0.2833,0.027,0.046,0.903
2023-03-24,600,37510.0,88836.0,91259.0,-4.5,0.39,0.56,0.44,0.24,0.2933,-0.058,-0.127,0.951
2023-03-25,600,37171.0,98461.0,92461.0,-3.97,0.36,0.52,0.4,0.24,0.3217,0.105,0.117,1.019
2023-03-26,600,36796.0,99288.0,92065.0,-4.14,0.31,0.52,0.4,0.28,0.27,-0.039,-0.114,1.041
2023-03-27,600,36843.0,86602.0,90344.0,-4.08,0.33,0.52,0.4,0.28,0.3267,0.033,-0.024,1.016
2023-03-28,600,35943.0,82199.0,89025.0,-3.74,0.42,0.52,0.4,0.28,0.29,-0.014,0.017,0.911
2023-03-29,600,37274.0,87107.0,90533.0,-3.86,0.34,0.52,0.4,0.28,0.305,0.055,0.048,1.039
2023-03-30,600,36333.0,86255.0,89401.0,-4.05,0.36,0.52,0.4,0.28,0.29,0.002,-0.114,0.95
2023-03-31,600,37790.0,91731.0,91827.0,-3.8,0.36,0.52,0.4,0.28,0.28,-0.064,0.002,0.914
2023-04-01,600,39658.0,108697.0,97086.0,4.96,0.39,0.52,0.4,0.28,0.265,-0.016,-0.014,0.824
2023-04-02,600,39555.0,105359.0,96870.0,5.05,0.36,0.52,0.4,0.28,0.3017,-0.037,-0.026,0.904
2023-04-03,600,40987.0,99935.0,96582.0,4.97,0.26,0.52,0.4,0.28,0.32,-0.05,0.071,0.929
2023-04-04,600,40649.0,98559.0,95845.0,5.09,0.35,0.52,0.4,0.28,0.3367,0.098,0.001,1.057
2023-04-05,600,40499.0,99171.0,96030.0,4.98,0.3,0.48,0.4,0.28,0.27,0.085,0.148,1.003
2023-04-06,600,40966.0,93942.0,96915.0,4.9,0.31,0.44,0.4,0.28,0.275,-0.037,0.116,0.891
2023-04-07,600,40232.0,98118.0,96242.0,4.96,0.22,0.44,0.4,0.28,0.285,0.109,-0.059,0.915
2023-04-08,600,40115.0,109012.0,97774.0,5.03,0.38,0.44,0.4,0.28,0.31,-0.058,0.016,0.985
2023-04-09,600,39256.0,103497.0,97338.0,4.88,0.4,0.36,0.48,0.32,0.3317,0.067,-0.075,0.955
2023-04-10,600,40192.0,94937.0,96425.0,5.03,0.3,0.36,0.48,0.32,0.3067,-0.053,0.013,1.025
2023-04-11,600,40535.0,99197.0,96287.0,5.07,0.35,0.36,0.48,0.36,0.2783,-0.001,0.013,0.821
2023-04-12,600,39178.0,91379.0,95022.0,5.05,0.38,0.36,0.44,0.36,0.3083,0.037,0.057,0.985
2023-04-13,600,40446.0,100606.0,95427.0,4.81,0.34,0.4,0.52,0.4,0.325,0.066,-0.09,0.946
2023-04-14,600,41212.0,101389.0,97091.0,5.04,0.32,0.4,0.52,0.4,0.285,0.058,-0.018,0.969
2023-04-15,600,40418.0,111142.0,98515.0,5.03,0.44,0.4,0.48,0.4,0.305,-0.021,-0.055,0.876
2023-04-16,600,38853.0,99655.0,97395.0,5.07,0.33,0.4,0.48,0.4,0.3017,0.041,0.054,0.998
2023-04-17,600,39928.0,99508.0,95421.0,4.77,0.39,0.4,0.48,0.4,0.31,0.055,-0.147,0.851
2023-04-18,600,41023.0,104976.0,97463.0,4.9,0.28,0.4,0.52,0.36,0.3033,-0.047,0.01,0.941
2023-04-19,600,40752.0,98141.0,96289.0,5.01,0.3,0.4,0.56,0.4,0.2883,-0.031,0.066,0.99
2023-04-20,600,40157.0,98132.0,96266.0,4.94,0.35,0.4,0.56,0.4,0.255,0.011,0.061,1.014
2023-04-21,600,40015.0,98266.0,95805.0,5.08,0.33,0.4,0.56,0.36,0.3217,-0.033,-0.019,0.919
2023-04-22,600,39857.0,111813.0,98268.0,4.94,0.36,0.44,0.56,0.36,0.255,-0.112,-0.011,0.974
2023-04-23,600,39603.0,112835.0,97412.0,5.08,0.31,0.4,0.52,0.4,0.3067,0.031,0.06,1.016
2023-04-24,600,40695.0,99498.0,97088.0,4.88,0.34,0.4,0.52,0.4,0.3167,-0.037,0.034,0.883
2023-04-25,600,40154.0,99341.0,95953.0,5.03,0.34,0.4,0.52,0.4,0.3083,-0.075,0.012,0.983
2023-04-26,600,39807.0,97699.0,95810.0,4.9,0.34,0.4,0.52,0.4,0.2883,0.001,-0.123,0.922
2023-04-27,600,40095.0,98721.0,96163.0,5.46,0.33,0.4,0.52,0.4,0.2917,-0.014,0.001,0.893
2023-04-28,600,40410.0,98235.0,96347.0,4.99,0.33,0.4,0.52,0.4,0.295,0.013,0.122,0.961
2023-04-29,600,40020.0,110996.0,98316.0,5.24,0.22,0.4,0.48,0.4,0.3033,0.036,-0.053,1.1
2023-04-30,600,39751.0,107124.0,97872.0,5.05,0.3,0.44,0.48,0.4,0.3,-0.006,-0.121,0.953
2023-05-01,600,40346.0,97033.0,96684.0,13.94,0.29,0.44,0.48,0.4,0.31,0.082,-0.079,0.958
2023-05-02,600,40298.0,97621.0,95869.0,13.99,0.33,0.44,0.48,0.4,0.3,0.022,-0.149,1.063
2023-05-03,600,39761.0,97196.0,96068.0,13.94,0.35,0.4,0.48,0.4,0.3033,-0.15,-0.181,0.902
2023-05-04,600,39515.0,100396.0,96050.0,13.85,0.34,0.36,0.52,0.4,0.3083,-0.018,-0.052,0.934
2023-05-05,600,40260.0,101415.0,95578.0,14.23,0.36,0.36,0.52,0.4,0.285,0.032,-0.075,0.954
2023-05-06,600,39064.0,110261.0,96926.0,14.19,0.27,0.36,0.52,0.4,0.2633,-0.088,0.012,0.91
2023-05-07,600,38559.0,101816.0,96788.0,13.77,0.29,0.36,0.52,0.4,0.2967,-0.031,-0.072,0.885
2023-05-08,600,39482.0,96345.0,95746.0,14.1,0.29,0.36,0.52,0.4,0.2767,0.058,0.065,0.974
2023-05-09,600,39870.0,99134.0,95665.0,13.85,0.33,0.36,0.52,0.4,0.3133,-0.037,-0.03,0.931
2023-05-10,600,39957.0,98499.0,96148.0,14.07,0.3,0.36,0.52,0.4,0.265,0.051,-0.015,1.003
2023-05-11,600,40301.0,97718.0,96213.0,14.15,0.32,0.36,0.52,0.4,0.275,-0.061,-0.003,1.016
2023-05-12,600,40403.0,99265.0,96537.0,13.96,0.31,0.36,0.52,0.4,0.2983,0.06,0.002,0.976
2023-05-13,600,37986.0,103942.0,96436.0,14.14,0.32,0.36,0.52,0.4,0.3067,0.044,0.091,0.989
2023-05-14,600,40274.0,112205.0,98545.0,13.95,0.24,0.36,0.52,0.4,0.29,0.079,-0.02,0.979
2023-05-15,600,39871.0,98593.0,96597.0,14.07,0.3,0.36,0.52,0.4,0.2633,0.063,-0.036,0.873
2023-05-16,600,39695.0,98529.0,96116.0,14.14,0.29,0.36,0.48,0.4,0.2917,-0.025,-0.12,1.012
2023-05-17,600,39254.0,92079.0,95627.0,13.87,0.29,0.36,0.48,0.4,0.3117,-0.003,-0.004,0.928
2023-05-18,600,39737.0,96983.0,96612.0,13.78,0.32,0.32,0.52,0.32,0.27,0.094,0.073,0.875
2023-05-19,600,39549.0,96645.0,95658.0,14.04,0.32,0.32,0.52,0.32,0.31,0.041,-0.079,0.902
2023-05-20,600,38501.0,103034.0,96680.0,13.84,0.32,0.36,0.56,0.32,0.325,0.032,0.023,0.933
2023-05-21,600,38999.0,106349.0,97641.0,14.11,0.24,0.36,0.56,0.32,0.2917,0.034,-0.069,1.034
2023-05-22,600,40008.0,99177.0,96243.0,14.02,0.29,0.44,0.52,0.28,0.2717,-0.107,0.058,1.044
2023-05-23,600,40082.0,99276.0,95234.0,14.13,0.29,0.44,0.52,0.28,0.2817,-0.037,0.013,0.96
2023-05-24,600,40089.0,100246.0,95506.0,14.02,0.31,0.44,0.52,0.28,0.2933,-0.038,-0.07,0.981
2023-05-25,600,39512.0,96027.0,95821.0,14.02,0.28,0.44,0.52,0.28,0.2933,0.005,-0.021,0.85
2023-05-26,600,40127.0,98442.0,95828.0,13.97,0.3,0.44,0.52,0.28,0.3083,-0.11,-0.005,0.964
2023-05-27,600,39920.0,110052.0,97072.0,14.08,0.27,0.44,0.52,0.28,0.2783,0.053,-0.017,1.002
2023-05-28,600,39566.0,109873.0,97151.0,14.14,0.26,0.44,0.52,0.28,0.2917,-0.003,0.025,1.018
2023-05-29,600,40102.0,96601.0,95937.0,13.87,0.29,0.44,0.52,0.28,0.2917,-0.034,0.01,0.936
2023-05-30,600,40755.0,100429.0,96476.0,13.72,0.32,0.48,0.52,0.24,0.2917,-0.026,0.006,0.961
2023-05-31,600,40193.0,96156.0,96248.0,14.03,0.31,0.44,0.56,0.24,0.3,0.047,-0.043,0.837
2023-06-01,600,51376.0,138581.0,110580.0,17.91,0.54,0.44,0.56,0.24,0.28,0.036,-0.061,1.098
2023-06-02,600,50556.0,131715.0,109520.0,18.02,0.48,0.48,0.52,0.2,0.3067,0.05,0.07,0.946
2023-06-03,600,49593.0,146040.0,111014.0,18.1,0.5,0.48,0.52,0.2,0.3233,0.018,0.014,1.052
2023-06-04,600,49975.0,148189.0,111783.0,17.99,0.5,0.48,0.52,0.2,0.3017,0.002,0.049,0.98
2023-06-05,600,52145.0,137209.0,110926.0,17.94,0.49,0.48,0.52,0.16,0.31,-0.011,0.042,0.991
2023-06-06,600,52506.0,139120.0,111259.0,17.9,0.42,0.48,0.52,0.2,0.2733,0.006,-0.02,0.89
2023-06-07,600,51520.0,136505.0,110763.0,17.96,0.43,0.48,0.52,0.2,0.2733,0.057,-0.011,0.951
2023-06-08,600,51663.0,134332.0,110261.0,18.04,0.41,0.48,0.52,0.2,0.31,0.016,-0.051,0.955
2023-06-09,600,51552.0,135774.0,111018.0,17.97,0.42,0.48,0.52,0.2,0.2733,0.008,-0.043,0.918
2023-06-10,600,50797.0,149229.0,112085.0,17.92,0.46,0.48,0.52,0.2,0.3217,-0.004,-0.004,0.858
2023-06-11,600,49868.0,147544.0,111289.0,17.95,0.45,0.48,0.52,0.2,0.2783,-0.068,0.049,0.942
2023-06-12,600,51850.0,133083.0,109746.0,18.14,0.47,0.48,0.52,0.2,0.3167,0.026,0.009,0.9
2023-06-13,600,50865.0,132466.0,109151.0,17.97,0.41,0.48,0.52,0.2,0.2733,-0.009,-0.048,0.922
2023-06-14,600,50923.0,137067.0,110692.0,17.87,0.43,0.48,0.52,0.2,0.2767,-0.086,0.08,0.991
2023-06-15,600,51572.0,136332.0,110873.0,18.13,0.44,0.48,0.52,0.2,0.3217,0.011,-0.082,0.85
2023-06-16,600,50818.0,136819.0,110059.0,18.01,0.47,0.48,0.52,0.2,0.3,0.082,-0.057,0.946
2023-06-17,600,49903.0,145692.0,112007.0,17.81,0.47,0.48,0.52,0.2,0.2783,0.067,-0.121,1.106
2023-06-18,600,49277.0,145462.0,110889.0,17.87,0.44,0.48,0.52,0.2,0.2967,-0.025,-0.044,0.842
2023-06-19,600,51233.0,138122.0,110494.0,18.02,0.45,0.48,0.52,0.2,0.315,0.012,0.017,1.013
2023-06-20,600,51784.0,135832.0,110901.0,17.86,0.39,0.48,0.52,0.2,0.275,0.003,-0.073,0.92
2023-06-21,600,51286.0,139075.0,110680.0,17.88,0.45,0.48,0.52,0.2,0.2933,0.079,-0.021,0.891
2023-06-22,600,51928.0,139090.0,111940.0,17.99,0.37,0.48,0.52,0.2,0.2667,-0.029,0.07,0.917
2023-06-23,600,51382.0,129581.0,110271.0,18.23,0.48,0.48,0.52,0.2,0.2733,0.07,-0.01,0.991
2023-06-24,600,50015.0,148439.0,111885.0,18.19,0.48,0.48,0.52,0.2,0.2867,0.103,0.026,0.89
2023-06-25,600,49613.0,141096.0,111303.0,18.06,0.54,0.48,0.52,0.2,0.29,0.111,-0.022,1.015
2023-06-26,600,51418.0,131562.0,111627.0,18.25,0.45,0.48,0.52,0.2,0.3133,-0.093,-0.002,1.061
2023-06-27,600,50744.0,142390.0,110434.0,18.0,0.47,0.44,0.56,0.2,0.2717,-0.02,-0.034,0.929
2023-06-28,600,51057.0,136624.0,109756.0,17.92,0.41,0.44,0.56,0.2,0.3333,-0.062,0.038,0.982
2023-06-29,600,50125.0,132733.0,110489.0,18.16,0.43,0.44,0.56,0.2,0.3133,-0.02,0.081,0.955
2023-06-30,600,51260.0,138599.0,110664.0,17.87,0.43,0.44,0.56,0.2,0.2883,0.031,-0.013,0.867
2023-07-01,600,49613.0,144338.0,112100.0,20.12,0.48,0.4,0.48,0.16,0.2883,0.107,0.147,0.931
2023-07-02,600,50128.0,149460.0,112332.0,20.23,0.53,0.48,0.48,0.16,0.2883,0.004,0.063,0.803
2023-07-03,600,51312.0,134158.0,110014.0,19.95,0.48,0.48,0.44,0.16,0.3233,0.012,-0.001,1.022
2023-07-04,600,50694.0,131624.0,109307.0,20.25,0.51,0.48,0.44,0.16,0.2733,-0.048,-0.02,0.95
2023-07-05,600,51733.0,132846.0,110529.0,20.21,0.52,0.52,0.44,0.16,0.2783,-0.002,0.178,0.976
2023-07-06,600,52286.0,135485.0,110795.0,19.98,0.56,0.52,0.44,0.16,0.2883,0.038,0.002,1.005
2023-07-07,600,51601.0,129016.0,110232.0,20.08,0.57,0.52,0.4,0.12,0.2867,-0.026,-0.088,0.86
2023-07-08,600,49740.0,141965.0,110960.0,20.03,0.47,0.52,0.4,0.12,0.3067,0.034,0.032,0.94
2023-07-09,600,50799.0,145600.0,112866.0,20.12,0.54,0.56,0.44,0.12,0.2983,-0.036,0.024,0.957
2023-07-10,600,51735.0,135698.0,110194.0,19.79,0.53,0.56,0.44,0.08,0.2917,0.011,0.13,0.915
2023-07-11,600,51455.0,135022.0,110688.0,19.94,0.48,0.56,0.44,0.08,0.3067,-0.109,0.004,1.015
2023-07-12,600,50834.0,134357.0,109318.0,20.0,0.61,0.52,0.44,0.12,0.2867,0.001,0.037,0.965
2023-07-13,600,50851.0,129109.0,110001.0,20.07,0.62,0.52,0.44,0.12,0.3083,0.053,0.025,0.996
2023-07-14,600,51618.0,134967.0,110546.0,20.01,0.49,0.56,0.44,0.12,0.2683,0.035,-0.046,0.893
2023-07-15,600,50038.0,144098.0,112100.0,19.99,0.56,0.56,0.44,0.12,0.2567,-0.085,0.041,0.89
2023-07-16,600,50239.0,147569.0,112362.0,20.17,0.54,0.52,0.44,0.12,0.2983,-0.015,-0.077,0.957
2023-07-17,600,51821.0,132076.0,111049.0,20.03,0.5,0.44,0.4,0.16,0.3183,0.032,-0.137,0.975
2023-07-18,600,49699.0,126915.0,109338.0,19.82,0.59,0.44,0.4,0.16,0.2917,0.016,-0.025,0.944
2023-07-19,600,51143.0,125421.0,110618.0,19.94,0.57,0.44,0.44,0.2,0.2817,0.015,0.017,0.827
2023-07-20,600,50906.0,133179.0,110344.0,20.08,0.6,0.44,0.44,0.2,0.2867,-0.042,-0.047,0.913
2023-07-21,600,51086.0,132393.0,110530.0,20.02,0.54,0.44,0.44,0.16,0.27,-0.153,-0.161,0.911
2023-07-22,600,49788.0,144481.0,112913.0,20.1,0.51,0.44,0.44,0.16,0.2567,0.026,-0.042,0.981
2023-07-23,600,50563.0,146497.0,112889.0,19.97,0.54,0.44,0.44,0.16,0.2867,0.009,-0.046,0.885
2023-07-24,600,51174.0,131766.0,111116.0,19.98,0.55,0.44,0.44,0.16,0.28,0.008,-0.036,0.894
2023-07-25,600,50167.0,125279.0,110037.0,20.04,0.61,0.44,0.44,0.16,0.295,-0.036,0.072,0.926
2023-07-26,600,50412.0,131722.0,110142.0,20.36,0.55,0.44,0.44,0.16,0.2917,-0.064,0.021,1.035
2023-07-27,600,50104.0,127111.0,109208.0,20.23,0.55,0.44,0.44,0.16,0.2867,-0.158,-0.012,0.942
2023-07-28,600,51772.0,135811.0,111441.0,19.99,0.57,0.44,0.44,0.16,0.29,0.053,-0.07,0.9
2023-07-29,600,50142.0,145296.0,112719.0,20.14,0.52,0.44,0.44,0.16,0.3183,0.072,-0.063,1.015
2023-07-30,600,49619.0,138994.0,111147.0,19.88,0.58,0.44,0.44,0.16,0.2883,-0.103,-0.015,1.04
2023-07-31,600,51607.0,135212.0,110836.0,19.95,0.54,0.4,0.44,0.16,0.3017,0.026,0.096,0.976
2023-08-01,600,50474.0,126606.0,110281.0,17.95,0.45,0.4,0.44,0.2,0.3,-0.003,0.019,1.136
2023-08-02,600,50772.0,128029.0,110180.0,17.91,0.52,0.4,0.44,0.2,0.2783,-0.052,0.015,0.881
2023-08-03,600,50416.0,133539.0,109854.0,17.78,0.5,0.4,0.44,0.2,0.2817,0.042,0.038,0.97
2023-08-04,600,49493.0,127557.0,108378.0,17.94,0.49,0.4,0.44,0.2,0.26,-0.154,0.025,0.878
2023-08-05,600,49197.0,141492.0,112236.0,17.96,0.38,0.4,0.44,0.2,0.2733,-0.032,-0.048,0.901
2023-08-06,600,49782.0,144490.0,112074.0,18.04,0.41,0.4,0.44,0.2,0.3233,0.044,-0.011,0.856
2023-08-07,600,50476.0,131410.0,109201.0,18.17,0.4,0.4,0.44,0.2,0.3083,-0.049,-0.009,0.953
2023-08-08,600,51382.0,136077.0,110313.0,17.93,0.42,0.4,0.44,0.2,0.3,0.015,-0.035,0.929
2023-08-09,600,50846.0,127700.0,110697.0,17.99,0.38,0.4,0.44,0.2,0.295,0.035,0.034,0.95
