forecast_date,horizon_day,station_id,station_name,target,forecast,lower_bound,upper_bound,model_version
2024-01-03,3,24,Татнефть-АЗС-025,,,,,
2024-01-04,4,0,Татнефть-АЗС-001,,,,,
2024-01-04,4,1,Татнефть-АЗС-002,,,,,
2024-01-04,4,2,Татнефть-АЗС-003,,,,,
2024-01-04,4,3,Татнефть-АЗС-004,,,,,
2024-01-04,4,4,Татнефть-АЗС-005,,,,,
2024-01-04,4,5,Татнефть-АЗС-006,,,,,
2024-01-04,4,6,Татнефть-АЗС-007,,,,,
2024-01-04,4,7,Татнефть-АЗС-008,,,,,
2024-01-04,4,8,Татнефть-АЗС-009,,,,,
2024-01-04,4,9,Татнефть-АЗС-010,,,,,
2024-01-04,4,10,Татнефть-АЗС-011,,,,,
2024-01-04,4,11,Татнефть-АЗС-012,,,,,
2024-01-04,4,12,Татнефть-АЗС-013,,,,,
2024-01-04,4,13,Татнефть-АЗС-014,,,,,
2024-01-04,4,14,Татнефть-АЗС-015,,,,,
2024-01-04,4,15,Татнефть-АЗС-016,,,,,
2024-01-04,4,16,Татнефть-АЗС-017,,,,,
2024-01-04,4,17,Татнефть-АЗС-018,,,,,
2024-01-04,4,18,Татнефть-АЗС-019,,,,,
2024-01-04,4,19,Татнефть-АЗС-020,,,,,
2024-01-04,4,20,Татнефть-АЗС-021,,,,,
2024-01-04,4,21,Татнефть-АЗС-022,,,,,
2024-01-04,4,22,Татнефть-АЗС-023,,,,,
2024-01-04,4,23,Татнефть-АЗС-024,,,,,
2024-01-04,4,24,Татнефть-АЗС-025,,,,,
2024-01-05,5,0,Татнефть-АЗС-001,,,,,
2024-01-05,5,1,Татнефть-АЗС-002,,,,,
2024-01-05,5,2,Татнефть-АЗС-003,,,,,
2024-01-05,5,3,Татнефть-АЗС-004,,,,,
2024-01-05,5,4,Татнефть-АЗС-005,,,,,
2024-01-05,5,5,Татнефть-АЗС-006,,,,,
2024-01-05,5,6,Татнефть-АЗС-007,,,,,
2024-01-05,5,7,Татнефть-АЗС-008,,,,,
2024-01-05,5,8,Татнефть-АЗС-009,,,,,
2024-01-05,5,9,Татнефть-АЗС-010,,,,,
2024-01-05,5,10,Татнефть-АЗС-011,,,,,
2024-01-05,5,11,Татнефть-АЗС-012,,,,,
2024-01-05,5,12,Татнефть-АЗС-013,,,,,
2024-01-05,5,13,Татнефть-АЗС-014,,,,,
2024-01-05,5,14,Татнефть-АЗС-015,,,,,
2024-01-05,5,15,Татнефть-АЗС-016,,,,,
2024-01-05,5,16,Татнефть-АЗС-017,,,,,
2024-01-05,5,17,Татнефть-АЗС-018,,,,,
2024-01-05,5,18,Татнефть-АЗС-019,,,,,
2024-01-05,5,19,Татнефть-АЗС-020,,,,,
2024-01-05,5,20,Татнефть-АЗС-021,,,,,
2024-01-05,5,21,Татнефть-АЗС-022,,,,,
2024-01-05,5,22,Татнефть-АЗС-023,,,,,
2024-01-05,5,23,Татнефть-АЗС-024,,,,,
2024-01-05,5,24,Татнефть-АЗС-025,,,,,
2024-01-06,6,0,Татнефть-АЗС-001,,,,,
2024-01-06,6,1,Татнефть-АЗС-002,,,,,
2024-01-06,6,2,Татнефть-АЗС-003,,,,,
2024-01-06,6,3,Татнефть-АЗС-004,,,,,
2024-01-06,6,4,Татнефть-АЗС-005,,,,,
2024-01-06,6,5,Татнефть-АЗС-006,,,,,
2024-01-06,6,6,Татнефть-АЗС-007,,,,,
2024-01-06,6,7,Татнефть-АЗС-008,,,,,
2024-01-06,6,8,Татнефть-АЗС-009,,,,,
2024-01-06,6,9,Татнефть-АЗС-010,,,,,
2024-01-06,6,10,Татнефть-АЗС-011,,,,,
2024-01-06,6,11,Татнефть-АЗС-012,,,,,
2024-01-06,6,12,Татнефть-АЗС-013,,,,,
2024-01-06,6,13,Татнефть-АЗС-014,,,,,
2024-01-06,6,14,Татнефть-АЗС-015,,,,,
2024-01-06,6,15,Татнефть-АЗС-016,,,,,
2024-01-06,6,16,Татнефть-АЗС-017,,,,,
2024-01-06,6,17,Татнефть-АЗС-018,,,,,
2024-01-06,6,18,Татнефть-АЗС-019,,,,,
2024-01-06,6,19,Татнефть-АЗС-020,,,,,
2024-01-06,6,20,Татнефть-АЗС-021,,,,,
2024-01-06,6,21,Татнефть-АЗС-022,,,,,
2024-01-06,6,22,Татнефть-АЗС-023,,,,,
2024-01-06,6,23,Татнефть-АЗС-024,,,,,
2024-01-06,6,24,Татнефть-АЗС-025,,,,,
2024-01-07,7,0,Татнефть-АЗС-001,,,,,
2024-01-07,7,1,Татнефть-АЗС-002,,,,,
2024-01-07,7,2,Татнефть-АЗС-003,,,,,
2024-01-07,7,3,Татнефть-АЗС-004,,,,,
2024-01-07,7,4,Татнефть-АЗС-005,,,,,
2024-01-07,7,5,Татнефть-АЗС-006,,,,,
2024-01-07,7,6,Татнефть-АЗС-007,,,,,
2024-01-07,7,7,Татнефть-АЗС-008,,,,,
2024-01-07,7,8,Татнефть-АЗС-009,,,,,
2024-01-07,7,9,Татнефть-АЗС-010,,,,,
2024-01-07,7,10,Татнефть-АЗС-011,,,,,
2024-01-07,7,11,Татнефть-АЗС-012,,,,,
2024-01-07,7,12,Татнефть-АЗС-013,,,,,
2024-01-07,7,13,Татнефть-АЗС-014,,,,,
2024-01-07,7,14,Татнефть-АЗС-015,,,,,
2024-01-07,7,15,Татнефть-АЗС-016,,,,,
2024-01-07,7,16,Татнефть-АЗС-017,,,,,
2024-01-07,7,17,Татнефть-АЗС-018,,,,,
2024-01-07,7,18,Татнефть-АЗС-019,,,,,
2024-01-07,7,19,Татнефть-АЗС-020,,,,,
2024-01-07,7,20,Татнефть-АЗС-021,,,,,
2024-01-07,7,21,Татнефть-АЗС-022,,,,,
2024-01-07,7,22,Татнефть-АЗС-023,,,,,
2024-01-07,7,23,Татнефть-АЗС-024,,,,,
2024-01-07,7,24,Татнефть-АЗС-025,,,,,
